仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
ETH/USDT:USDT_1772266823000,ETH/USDT:USDT,空头,4.80434,1850.21,2026/2/28 16:20,1851.51,2026/2/28 16:51,已平仓,-6.245642,2,1772266823000,1772268704000
XRP/USDT:USDT_1772266830000,XRP/USDT:USDT,空头,6755.34,1.28962,2026/2/28 16:20,1.286,2026/2/28 16:51,已平仓,24.4543308,2,1772266830000,1772268704000
SUI/USDT:USDT_1772266869000,SUI/USDT:USDT,空头,8772.1,0.8381,2026/2/28 16:21,0.8381,2026/2/28 16:51,已平仓,0,2,1772266869000,1772268702000
XRP/USDT:USDT_1772269692000,XRP/USDT:USDT,空头,7846.11,1.28150948,2026/2/28 17:08,1.30514,2026/2/28 19:30,已平仓,-185.407674,3,1772269692000,1772278253000
LINK/USDT:USDT_1772269728000,LINK/USDT:USDT,空头,876.28,8.24667,2026/2/28 17:08,8.35179,2026/2/28 21:47,已平仓,-92.114554,2,1772269728000,1772286442000
SUI/USDT:USDT_1772269763000,SUI/USDT:USDT,空头,9671.8,0.83455576,2026/2/28 17:09,0.8501,2026/2/28 21:48,已平仓,-150.3408,3,1772269763000,1772286535000
ETH/USDT:USDT_1772324520000,ETH/USDT:USDT,多头,4.45869,1960.611027,2026/3/1 8:22,2019.96,2026/3/1 9:53,已平仓,264.6186738,3,1772324520000,1772330004000
SOL/USDT:USDT_1772324533000,SOL/USDT:USDT,多头,89.543,84.7138,2026/3/1 8:22,86.9738,2026/3/1 9:53,已平仓,202.36718,2,1772324533000,1772329983000
ETH/USDT:USDT_1772373167000,ETH/USDT:USDT,多头,3.58971,2008.82687,2026/3/1 21:52,2009.69,2026/3/1 22:02,已平仓,3.0983847,3,1772373167000,1772373720000
HYPE/USDT:USDT_1772385321000,HYPE/USDT:USDT,多头,195.484,31.01907463,2026/3/2 1:15,31.4285,2026/3/2 12:36,已平仓,80.0361089,3,1772385321000,1772426176000
HYPE/USDT:USDT_1772430070000,HYPE/USDT:USDT,空头,267.386,30.863616,2026/3/2 13:41,30.652,2026/3/2 17:10,已平仓,56.5831565,3,1772430070000,1772442625000
PUMP/USDT:USDT_1772437931000,PUMP/USDT:USDT,空头,4308099,0.00188975,2026/3/2 15:52,0.001914,2026/3/2 17:10,已平仓,-104.460002,3,1772437931000,1772442625000
HYPE/USDT:USDT_1772443453000,HYPE/USDT:USDT,空头,236.045,30.5603,2026/3/2 17:24,30.9356,2026/3/2 21:25,已平仓,-88.587689,2,1772443453000,1772457901000
PUMP/USDT:USDT_1772445034000,PUMP/USDT:USDT,空头,3650384,0.001907,2026/3/2 17:50,0.001926,2026/3/2 19:57,已平仓,-69.357296,2,1772445034000,1772452669000
HYPE/USDT:USDT_1772457915000,HYPE/USDT:USDT,多头,289.833,30.9478,2026/3/2 21:25,30.8484,2026/3/2 21:32,已平仓,-28.809401,2,1772457915000,1772458353000
HYPE/USDT:USDT_1772458402000,HYPE/USDT:USDT,空头,265.813,30.79966033,2026/3/2 21:33,31.0537,2026/3/2 22:13,已平仓,-67.527048,4,1772458402000,1772460783000
HYPE/USDT:USDT_1772460804000,HYPE/USDT:USDT,空头,227.122,31.0513,2026/3/2 22:13,31.1844,2026/3/2 22:32,已平仓,-30.229939,2,1772460804000,1772461972000
ETH/USDT:USDT_1772462006000,ETH/USDT:USDT,多头,3.9009,1946.93,2026/3/2 22:33,1962.94,2026/3/2 22:45,已平仓,62.453409,2,1772462006000,1772462725000
ETH/USDT:USDT_1772463224000,ETH/USDT:USDT,多头,3.57894,1973.39,2026/3/2 22:53,1975.03,2026/3/2 22:54,已平仓,5.8694616,2,1772463224000,1772463247000
ETH/USDT:USDT_1772463719000,ETH/USDT:USDT,多头,3.15999,1984.54,2026/3/2 23:01,2041.35,2026/3/2 23:20,已平仓,179.5190319,2,1772463719000,1772464848000
PUMP/USDT:USDT_1772463730000,PUMP/USDT:USDT,多头,2294531,0.002005,2026/3/2 23:02,0.00209,2026/3/3 0:26,已平仓,195.035135,2,1772463730000,1772468798000
SUI/USDT:USDT_1772463740000,SUI/USDT:USDT,多头,6863,0.9204,2026/3/2 23:02,0.95,2026/3/2 23:20,已平仓,203.1448,2,1772463740000,1772464847000
SOL/USDT:USDT_1772463772000,SOL/USDT:USDT,多头,92.812,86.57380003,2026/3/2 23:02,89.4169,2026/3/3 0:08,已平仓,263.873794,3,1772463772000,1772467700000
ZEC/USDT:USDT_1772465715000,ZEC/USDT:USDT,多头,36.7085,223.532,2026/3/2 23:35,223.477,2026/3/3 0:11,已平仓,-2.018968,2,1772465715000,1772467885000
SUI/USDT:USDT_1772466671000,SUI/USDT:USDT,多头,8901.1,0.95204301,2026/3/2 23:51,0.9503,2026/3/3 0:13,已平仓,-15.51471,3,1772466671000,1772468021000
ETH/USDT:USDT_1772466995000,ETH/USDT:USDT,多头,4.5937,2047.267319,2026/3/2 23:56,2027.9,2026/3/3 1:43,已平仓,-88.967653,3,1772466995000,1772473432000
ONDO/USDT:USDT_1772467246000,ONDO/USDT:USDT,多头,24573.2,0.2661,2026/3/3 0:00,0.2658,2026/3/3 0:32,已平仓,-7.37196,2,1772467246000,1772469122000
LINK/USDT:USDT_1772469670000,LINK/USDT:USDT,多头,794.48,9.10988,2026/3/3 0:41,8.99692,2026/3/3 1:43,已平仓,-89.744461,2,1772469670000,1772473417000
SUI/USDT:USDT_1772470155000,SUI/USDT:USDT,多头,9362.6,0.95914792,2026/3/3 0:49,0.9394,2026/3/3 1:18,已平仓,-184.89186,3,1772470155000,1772471885000
HYPE/USDT:USDT_1772472563000,HYPE/USDT:USDT,多头,238.691,33.07562135,2026/3/3 1:29,32.59,2026/3/3 1:43,已平仓,-115.913447,3,1772472563000,1772473425000
SOL/USDT:USDT_1772494772000,SOL/USDT:USDT,空头,122.486,86.46675204,2026/3/3 7:39,85.61042541,2026/3/3 13:50,已平仓,104.8880238,4,1772494772000,1772517056000
LINK/USDT:USDT_1772495046000,LINK/USDT:USDT,空头,1075.7,8.91887998,2026/3/3 7:44,8.77929,2026/3/3 13:50,已平仓,150.1569428,3,1772495046000,1772517056000
ETH/USDT:USDT_1772503692000,ETH/USDT:USDT,空头,4.6195,2011.12,2026/3/3 10:08,1988.66,2026/3/3 13:50,已平仓,103.75397,2,1772503692000,1772517057000
XRP/USDT:USDT_1772515753000,XRP/USDT:USDT,空头,8513.68,1.37226833,2026/3/3 13:29,1.36131,2026/3/3 13:50,已平仓,93.2957422,4,1772515753000,1772517056000
ETH/USDT:USDT_1772521299000,ETH/USDT:USDT,空头,3.88565,1996.1,2026/3/3 15:01,1953.19,2026/3/3 16:52,已平仓,166.7332415,2,1772521299000,1772527954000
XRP/USDT:USDT_1772521322000,XRP/USDT:USDT,空头,6104.51,1.35981284,2026/3/3 15:02,1.34828,2026/3/3 16:52,已平仓,70.4023089,3,1772521322000,1772527954000
LINK/USDT:USDT_1772522872000,LINK/USDT:USDT,空头,801.9,8.79856,2026/3/3 15:27,8.65043,2026/3/3 16:51,已平仓,118.785447,2,1772522872000,1772527860000
ETH/USDT:USDT_1772528735000,ETH/USDT:USDT,空头,5.96848,1956.09217,2026/3/3 17:05,1968.41,2026/3/3 20:06,已平仓,-73.51872,4,1772528735000,1772539587000
SOL/USDT:USDT_1772529861000,SOL/USDT:USDT,空头,116.542,84.55856664,2026/3/3 17:24,85.0181,2026/3/3 20:12,已平仓,-53.554937,3,1772529861000,1772539930000
ETH/USDT:USDT_1772541083000,ETH/USDT:USDT,空头,5.44781,1969.74,2026/3/3 20:31,1961.36,2026/3/3 22:09,已平仓,45.6526478,2,1772541083000,1772546964000
DOGE/USDT:USDT_1772541218000,DOGE/USDT:USDT,空头,113710,0.09016,2026/3/3 20:33,0.09025,2026/3/3 22:09,已平仓,-10.2339,2,1772541218000,1772546962000
HYPE/USDT:USDT_1772545151000,HYPE/USDT:USDT,空头,275.146,31.42721859,2026/3/3 21:39,31.4925,2026/3/3 22:09,已平仓,-17.961919,3,1772545151000,1772546964000
ETH/USDT:USDT_1772546993000,ETH/USDT:USDT,多头,7.35851,1957.025158,2026/3/3 22:09,1934.99,2026/3/3 22:47,已平仓,-162.145929,5,1772546993000,1772549257000
LINK/USDT:USDT_1772547329000,LINK/USDT:USDT,多头,1130.72,8.67692,2026/3/3 22:15,8.59123,2026/3/3 22:42,已平仓,-96.891397,2,1772547329000,1772548963000
ETH/USDT:USDT_1772549494000,ETH/USDT:USDT,空头,5.26722,1941.18,2026/3/3 22:51,1947.95,2026/3/3 22:55,已平仓,-35.65908,2,1772549494000,1772549722000
XRP/USDT:USDT_1772549756000,XRP/USDT:USDT,多头,9334.67,1.35185,2026/3/3 22:55,1.34565,2026/3/3 23:02,已平仓,-57.874954,2,1772549756000,1772550146000
SOL/USDT:USDT_1772554425000,SOL/USDT:USDT,多头,122.144,86.1052,2026/3/4 0:13,87.0225,2026/3/4 0:26,已平仓,112.0426912,2,1772554425000,1772555184000
ETH/USDT:USDT_1772554468000,ETH/USDT:USDT,多头,5.04485,1991.14,2026/3/4 0:14,2010.8,2026/3/4 0:26,已平仓,99.181751,2,1772554468000,1772555184000
DOGE/USDT:USDT_1772554533000,DOGE/USDT:USDT,多头,117348,0.09157,2026/3/4 0:15,0.09225,2026/3/4 0:26,已平仓,79.79664,2,1772554533000,1772555184000
ETH/USDT:USDT_1772556459000,ETH/USDT:USDT,多头,5.23076,1981.76,2026/3/4 0:47,1967.59,2026/3/4 1:09,已平仓,-74.11987,2,1772556459000,1772557790000
ETH/USDT:USDT_1772595442000,ETH/USDT:USDT,空头,5.37979,1948.74258,2026/3/4 11:37,1961.52,2026/3/4 12:00,已平仓,-68.739839,4,1772595442000,1772596821000
ETH/USDT:USDT_1772607057000,ETH/USDT:USDT,空头,6.10454,1979.505529,2026/3/4 14:50,1995.55,2026/3/4 15:47,已平仓,-97.944114,4,1772607057000,1772610424000
ETH/USDT:USDT_1772613110000,ETH/USDT:USDT,多头,5.56884,2012.57275,2026/3/4 16:31,2048.13,2026/3/4 16:49,已平仓,198.012635,4,1772613110000,1772614140000
ONDO/USDT:USDT_1772614919000,ONDO/USDT:USDT,多头,31665.3,0.26894778,2026/3/4 17:01,0.2691,2026/3/4 17:11,已平仓,4.82013,3,1772614919000,1772615515000
SUI/USDT:USDT_1772615234000,SUI/USDT:USDT,多头,10212.8,0.94414333,2026/3/4 17:07,0.9473,2026/3/4 17:28,已平仓,32.23845,3,1772615234000,1772616507000
SOL/USDT:USDT_1772619898000,SOL/USDT:USDT,空头,84.275,90.1103,2026/3/4 18:24,90.278,2026/3/4 18:41,已平仓,-14.132918,2,1772619898000,1772620900000
XRP/USDT:USDT_1772619906000,XRP/USDT:USDT,空头,6655.62,1.407201,2026/3/4 18:25,1.40078,2026/3/4 21:39,已平仓,42.7357325,3,1772619906000,1772631574000
ONDO/USDT:USDT_1772619951000,ONDO/USDT:USDT,空头,30873.2,0.26791386,2026/3/4 18:25,0.266,2026/3/4 21:39,已平仓,59.08691,3,1772619951000,1772631574000
SUI/USDT:USDT_1772620420000,SUI/USDT:USDT,空头,8054,0.93637257,2026/3/4 18:33,0.9417,2026/3/4 21:39,已平仓,-42.9071,3,1772620420000,1772631573000
ZEC/USDT:USDT_1772631680000,ZEC/USDT:USDT,多头,55.3677,237.661246,2026/3/4 21:41,232.877,2026/3/4 22:45,已平仓,-264.892698,3,1772631680000,1772635549000
ETH/USDT:USDT_1772636976000,ETH/USDT:USDT,多头,4.26008,2096.623976,2026/3/4 23:09,2127.41,2026/3/5 8:53,已平仓,131.1509256,3,1772636976000,1772672000000
