Rounded-full Image	Truncate	URL	Text-ellipsis	Leading-6	Leading-6	Text-current	Text-current	Leading-6	Leading-6	Flex	Text-xs	Leading-6
https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405	6e20326c-6a4e-4bba-89b5-2338316a7eef	https://omni.variational.io/perpetual/LINK	LINK-PERP	buy	Market	$9.66238	-	0.1%	No	2026-03-16	18:06:08	93.97
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	7a2d096e-6b45-4756-85b5-17b2f482bb5a	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Market	$2,267.02	-	0.1%	No	2026-03-16	18:04:27	0.65524
https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656	8dcb67de-9159-43fc-a230-3fd1c1394da5	https://omni.variational.io/perpetual/ONDO	ONDO-PERP	sell	Stop Loss	$0.2778	$0.2780	-	Yes	2026-03-16	18:00:09	
https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656	b5d99ad4-6947-457e-8acd-0cb637d6cd2c	https://omni.variational.io/perpetual/ONDO	ONDO-PERP	buy	Market	$0.2811	-	0.1%	No	2026-03-16	13:45:55	29,245.8
https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405	b7b2d414-874f-44c8-80d6-e78e05b876cc	https://omni.variational.io/perpetual/LINK	LINK-PERP	buy	Market	$9.69836	-	0.1%	No	2026-03-16	11:56:46	125.89
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	4960ebb7-2c49-40ff-9f6a-0fdb092836fe	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Market	$2,234.98	-	0.1%	No	2026-03-16	11:47:57	4.31119
https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405	04ff6245-52f6-4eb2-b28e-a1906ddc36a0	https://omni.variational.io/perpetual/LINK	LINK-PERP	buy	Market	$9.76693	-	0.1%	No	2026-03-16	11:36:49	811.71
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	e1c54150-0bba-4296-b294-e078f758a15b	https://omni.variational.io/perpetual/ETH	ETH-PERP	sell	Take Profit	$2,252.64	$2,250.00	-	Yes	2026-03-16	09:30:41	
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	07c59405-2d33-4bc5-89ae-439b456e53b5	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Market	$2,180.32	-	0.5%	No	2026-03-16	09:29:08	3.93339
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	83bcb3a7-8c87-44db-9748-8fd7319612a4	https://omni.variational.io/perpetual/SOL	SOL-PERP	buy	Market	$92.0566	-	0.5%	No	2026-03-16	09:26:01	99.824
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	533f2e0a-088d-4353-b8f8-793462d59018	https://omni.variational.io/perpetual/SOL	SOL-PERP	sell	Stop Loss	$91.4951	$91.5000	-	Yes	2026-03-16	08:17:40	
https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756	fc42f0ff-6e8b-4f45-a9a5-03d117edfd7c	https://omni.variational.io/perpetual/SOL	SOL-PERP	buy	Market	$92.7077	-	0.5%	No	2026-03-16	08:17:10	95.794
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	b2bdd3a9-c2f4-46d9-9b00-1c2b45419c3e	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	buy	Stop Loss	$234.314	$230.000	0.5%	Yes	2026-03-16	01:24:58	
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	b6e59066-928d-4cda-abef-8d62aab9989e	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	sell	Limit	$228.021	$228.000	0.5%	No	2026-03-16	01:24:58	37.5843
https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740	826bbcbc-6f78-41bb-9dd5-e7b9a84566ea	https://omni.variational.io/perpetual/ZEC	ZEC-PERP	buy	Market	$225.130	-	1%	Yes	2026-03-16	01:23:52	43.3393
https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628	103818a7-8700-49ea-8e01-80f2b206d7b9	https://omni.variational.io/perpetual/ETH	ETH-PERP	buy	Market	$2,093.26	-	0.1%	Yes	2026-03-15	22:21:26	4.36204
