仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
SOL/USDT:USDT_1732119524077,SOL/USDT:USDT,空头,10,235.4,2024-11-21 0:18,232.69,2024-11-21 0:31,已平仓,27.10000000000008,2,1732119524077,1732120269811
SOL/USDT:USDT_1732152088985,SOL/USDT:USDT,多头,3,238.23,2024-11-21 9:21,237,2024-11-21 9:50,已平仓,-3.69,7,1732152088985,1732153847562
SOL/USDT:USDT_1732154120131,SOL/USDT:USDT,空头,10,237,2024-11-21 9:55,235.48,2024-11-21 10:05,已平仓,15.200000000000102,4,1732154120131,1732154707025
SOL/USDT:USDT_1732155371471,SOL/USDT:USDT,空头,11,234.04,2024-11-21 10:16,231.99,2024-11-21 10:27,已平仓,22.549999999999812,2,1732155371471,1732156027997
SOL/USDT:USDT_1732159867481,SOL/USDT:USDT,多头,13,237.78846153846155,2024-11-21 11:31,241.88,2024-11-21 13:44,已平仓,53.18999999999983,3,1732159867481,1732167854020
SOL/USDT:USDT_1732183213219,SOL/USDT:USDT,空头,13,242.06153846153848,2024-11-21 18:00,242.39,2024-11-21 19:10,已平仓,-4.27,3,1732183213219,1732187442891
SOL/USDT:USDT_1732189720995,SOL/USDT:USDT,空头,12,240.71,2024-11-21 19:48,243.61,2024-11-21 20:15,已平仓,-34.8,4,1732189720995,1732191354020
SOL/USDT:USDT_1732191604405,SOL/USDT:USDT,多头,13,244.64,2024-11-21 20:20,244.78,2024-11-21 21:13,已平仓,1.8200000000001921,2,1732191604405,1732194815130
SOL/USDT:USDT_1732199036641,SOL/USDT:USDT,空头,8,246.28,2024-11-21 22:23,244.01,2024-11-21 22:35,已平仓,18.160000000000082,2,1732199036641,1732199741020
SOL/USDT:USDT_1732201005590,SOL/USDT:USDT,多头,2,251.65,2024-11-21 22:56,253.2,2024-11-21 22:57,已平仓,3.099999999999966,3,1732201005590,1732201024119
SOL/USDT:USDT_1732201555262,SOL/USDT:USDT,空头,12,249,2024-11-21 23:05,246.71,2024-11-21 23:22,已平仓,27.479999999999905,2,1732201555262,1732202578630
SOL/USDT:USDT_1732245491553,SOL/USDT:USDT,多头,8,262.61249999999995,2024-11-22 11:18,257.72,2024-11-22 18:10,已平仓,-39.14,4,1732245491553,1732270243041
SOL/USDT:USDT_1732270263249,SOL/USDT:USDT,空头,7,257.69857142857137,2024-11-22 18:11,260.08,2024-11-22 20:13,已平仓,-16.67,6,1732270263249,1732277596021
SOL/USDT:USDT_1732278080279,SOL/USDT:USDT,空头,10,258.91,2024-11-22 20:21,254.97,2024-11-22 21:24,已平仓,39.40000000000026,2,1732278080279,1732281863802
SOL/USDT:USDT_1732286050644,SOL/USDT:USDT,多头,2,255.58153846153846,2024-11-22 22:34,253.22,2024-11-22 22:55,已平仓,-4.723076923,10,1732286050644,1732287351701
SOL/USDT:USDT_1732287368868,SOL/USDT:USDT,空头,11,253.33999999999997,2024-11-22 22:56,254.76,2024-11-22 23:06,已平仓,-15.62,4,1732287368868,1732287995796
SOL/USDT:USDT_1732288000747,SOL/USDT:USDT,多头,10,254.712,2024-11-22 23:06,256.298,2024-11-22 23:52,已平仓,15.860000000000127,3,1732288000747,1732290775837
